Reference, Value, Footprint, Datasheet, Description, Height, Manufacturer_Name, Manufacturer_Part_Number, Mouser Part Number, Mouser Price/Stock
"U1","STM32F446ZET6","Package_QFP:LQFP-144_20x20mm_P0.5mm","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/DM00141306.pdf"
"C17","2.2u","Capacitor_SMD:C_0805_2012Metric","~"
"C16","2.2u","Capacitor_SMD:C_0805_2012Metric","~"
"SW1","SW_SPDT","spdt switch:118251376","~"
"R1","10k","Resistor_SMD:R_0805_2012Metric","~"
"C1","4.7u","Capacitor_SMD:C_0805_2012Metric","~"
"C2","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C3","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C4","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C5","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C6","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C7","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C8","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C9","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C10","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C11","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C12","100n","Capacitor_SMD:C_0805_2012Metric","~"
"C13","100n","Capacitor_SMD:C_0805_2012Metric","~"
"L1","39n","Inductor_SMD:L_0402_1005Metric","~"
"C14","1u","Capacitor_SMD:C_0805_2012Metric","~"
"C15","10n","Capacitor_SMD:C_0805_2012Metric","~"
"F1","750mA","Resistor_SMD:R_1210_3225Metric","~"
"SWD1","Conn_01x06_Female","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
"R3","22","Resistor_SMD:R_0805_2012Metric","~"
"J1","TB006-508-05BE","SamacSys_Parts:SHDR5W100P0X508_1X5_2540X820X1000P","https://componentsearchengine.com/Datasheets/1/TB006-508-05BE.pdf","Fixed Terminal Blocks Terminal block, screw type, 5.08 , horizontal, 5 poles, CUI Blue, slotted screw, PCB mount","10","CUI Inc.","TB006-508-05BE","490-TB006-508-05BE","https://www.mouser.co.uk/ProductDetail/CUI-Devices/TB006-508-05BE?qs=vLWxofP3U2zWp61Z63O%252BtQ%3D%3D"
"J2","TB006-508-05BE","SamacSys_Parts:SHDR5W100P0X508_1X5_2540X820X1000P","https://componentsearchengine.com/Datasheets/1/TB006-508-05BE.pdf","Fixed Terminal Blocks Terminal block, screw type, 5.08 , horizontal, 5 poles, CUI Blue, slotted screw, PCB mount","10","CUI Inc.","TB006-508-05BE","490-TB006-508-05BE","https://www.mouser.co.uk/ProductDetail/CUI-Devices/TB006-508-05BE?qs=vLWxofP3U2zWp61Z63O%252BtQ%3D%3D"
"J5","1715250000","SamacSys_Parts:1715250000","https://componentsearchengine.com/Datasheets/2/1715250000.pdf","WEIDMULLER - 1715250000 - TERMINAL BLOCK, PCB, 2 POSITION, 22-14AWG","13.8","Weidmuller","1715250000","470-1715250000","https://www.mouser.co.uk/ProductDetail/Weidmuller/1715250000?qs=WJDKaGZ8K%252B711AVQDPCg%2Fw%3D%3D"
"J4","TB006-508-05BE","SamacSys_Parts:SHDR5W100P0X508_1X5_2540X820X1000P","https://componentsearchengine.com/Datasheets/1/TB006-508-05BE.pdf","Fixed Terminal Blocks Terminal block, screw type, 5.08 , horizontal, 5 poles, CUI Blue, slotted screw, PCB mount","10","CUI Inc.","TB006-508-05BE","490-TB006-508-05BE","https://www.mouser.co.uk/ProductDetail/CUI-Devices/TB006-508-05BE?qs=vLWxofP3U2zWp61Z63O%252BtQ%3D%3D"
"FB1","600 @ 600 MHz","Resistor_SMD:R_0603_1608Metric","~"
"D2","RED","LED_SMD:LED_0805_2012Metric","~"
"R4","1k","Resistor_SMD:R_0805_2012Metric","~"
"Y1","Crystal_GND24_Small","EA1620LA12-16.000M_TR:EA1620LA1216000MTR","~"
"C21","C_Small","Capacitor_SMD:C_0805_2012Metric","~"
"C20","C_Small","Capacitor_SMD:C_0805_2012Metric","~"
"IC5","esp-12f","esp12f","https://docs.ai-thinker.com/_media/esp8266/docs/esp-12f_product_specification_en.pdf","ESP-12F ESP8266 Wifi Wireless IoT Board Module , package 1 x ESP8266 Adapter Plate  1pcs","3.1","Ai-Thinker","esp-12f","",""
"C24","100nF","Capacitor_SMD:C_0805_2012Metric","~"
"C23","10uF","Capacitor_SMD:C_0805_2012Metric","~"
"J8","USB_B_Micro","usbtomicro:J_SMD_2174507-2-5_7.8_5_2.71","~"
"R7","470","Resistor_SMD:R_0805_2012Metric","~"
"D4","LED","LED_SMD:LED_0805_2012Metric","~"
"R8","470","Resistor_SMD:R_0805_2012Metric","~"
"SW2","KEY_USER","","~"
"R9","0(NC)","Resistor_SMD:R_0805_2012Metric","~"
"R10","470","Resistor_SMD:R_0805_2012Metric","~"
"SW3","KEY_FLASH","","~"
"C18","100uF","EEEHA0J101WR:CAP_EEEHA0J101WR","~"
"R17","12K","Resistor_SMD:R_0805_2012Metric","~"
"R19","12K","Resistor_SMD:R_0805_2012Metric","~"
"R20","12K","Resistor_SMD:R_0805_2012Metric","~"
"C19","470pF","Capacitor_SMD:C_0805_2012Metric","~"
"R13","470","Resistor_SMD:R_0805_2012Metric","~"
"R14","470","Resistor_SMD:R_0805_2012Metric","~"
"X1","ECS-2520MV-xxx-xx","Oscillator:Oscillator_SMD_ECS_2520MV-xxx-xx-4Pin_2.5x2.0mm","https://www.ecsxtal.com/store/pdf/ECS-2520MV.pdf"
"C26","22pF","Capacitor_SMD:C_0805_2012Metric","~"
"C25","22pF","Capacitor_SMD:C_0805_2012Metric","~"
"U4","R-78E5.0-0.5","DC 7.5 to 5:R-78E5.0-0.5",""
"U5","ISE0512A-H","5to3.3:ISE0512A-H",""
"ESD1","USBLC6-2SC6","Package_TO_SOT_SMD:SOT-23-6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf"
"D3","D_Schottky","Diode 4007:1N4007G-T","~"
"U3","CH340G","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","http://www.datasheet5.com/pdf-local-2195953"
"R12","12K","Resistor_SMD:R_0805_2012Metric","~"
"R11","12K","Resistor_SMD:R_0805_2012Metric","~"
"Q2","S8050","Package_TO_SOT_THT:TO-92_Inline","http://www.unisonic.com.tw/datasheet/S8050.pdf"
"Q3","S8050","Package_TO_SOT_THT:TO-92_Inline","http://www.unisonic.com.tw/datasheet/S8050.pdf"
